study_hours,attendance,previous_marks,assignments,passed
2,51,82,52,0
3,97,41,78,1
9,55,72,62,0
2,63,49,67,0
9,62,80,76,1
7,64,63,72,1
1,98,86,45,0
6,67,44,48,0
6,56,40,59,0
6,88,51,86,0
8,84,42,94,1
9,68,88,75,1
6,86,47,80,1
4,68,40,89,0
2,74,52,64,0
6,60,58,57,0
5,94,78,76,1
3,84,81,50,1
7,67,75,79,1
6,53,49,87,0
6,75,52,39,0
10,95,55,48,1
7,91,64,44,1
4,97,70,69,1
10,77,92,72,1
4,58,67,66,0
1,57,44,75,0
7,88,39,59,1
8,83,51,70,1
1,93,81,42,0
9,98,52,84,1
2,68,62,45,0
5,82,83,46,1
2,90,54,88,1
10,62,44,58,1
9,83,35,73,1
1,57,58,91,0
5,65,38,50,0
2,55,81,66,0
9,58,43,77,1
9,60,51,68,1
7,63,69,83,1
4,95,54,60,1
6,78,92,68,1
4,64,39,56,1
9,64,72,49,0
1,64,39,92,1
6,54,67,50,0
8,63,69,43,1
10,86,65,50,1
7,62,41,41,0
6,77,61,64,1
1,93,76,76,1
7,96,56,86,1
4,62,47,69,0
7,61,52,64,1
2,78,86,90,1
2,53,76,69,0
2,98,89,50,1
8,80,48,90,1
1,60,59,35,0
5,79,53,62,1
9,92,80,66,1
5,63,38,72,0
1,97,55,38,1
8,82,89,68,1
9,55,89,46,1
2,93,90,50,1
10,65,72,73,0
2,76,77,72,0
6,66,48,77,1
4,66,60,43,0
5,79,55,94,1
2,50,64,74,0
2,54,69,48,0
3,72,91,39,0
6,68,45,63,0
5,89,86,76,1
9,69,77,41,1
3,66,42,91,0
